Object Number,variable,artist
02.7.1,0,"Ingham, Charles Cromwell"
04.29.2,0,"Cole, Thomas"
04.3.36,0,"von Winterthur, Heinrich Heid"
06.1051.2,0,"Altdorfer, Albrecht"
06.1335.1a–d,0,"Tencalla, Carpoforo Mazzetti"
06.1335.1a–d,1,"Stazio, Abbondio"
06.968.2,0,"Stimmer, Tobias"
06.968.2,1,"Murer, Christoph"
06.968.2,2,Pfau David II
06.968.2,3,Pfau Hans Heinrich III
"07.286.36a, b",0,Penthesilea Painter
07.286.84,0,Painter of the Woolly Satyrs
08.162.1,0,"Rossetti, Dante Gabriel"
08.162.1,1,"Dunn, Henry Treffry"
08.183.1,0,"Bellini, Giovanni"
10.125.685,0,"Dennis, Thomas"
10.125.685,1,"Searle, William"
10.125.83,0,"Townsend, John"
10.189,0,"Veronese, Paolo (Paolo Caliari)"
10.228.1,0,"Homer, Winslow"
10.64.5,0,"Homer, Winslow"
100.1 B59,0,"Blanc, Charles"
100.1 B59,1,"Humbert, de Superville David-Pierre Giottino"
100.1 B591,0,"Gaucherel, Léon"
100.1 B591,1,"Blanc, Charles"
100.51 B61 no.2,0,Man Ray
100.51 B61 no.2,1,"Duchamp, Marcel"
100.51 B61 no.2,2,"Roché, H. P."
106.1 V28 F,0,Barrie
106.1 V28 F,1,"Strahan, Edward"
107.1 K75 1920 no.8,0,"Bakst, Léon"
107.1 K75 1920 no.8,1,"Knoedler, M., & Co."
107.15 R474 no.7,0,Museu de Arte Moderna
109A L83,0,"Lomazzo, Giovanni Paolo"
11.116.4,0,"Inness, George"
11.118,0,"Carpaccio, Vittore"
11.126.1,0,Giotto di Bondone
11.156,0,"Durand, Asher Brown"
11.173.1,0,"Rodin, Auguste"
110.5B75 C44,0,"Chizzola, Luigi"
12.11.1,0,"Rodin, Auguste"
12.3.1,0,Master Potter A
120 Se6,0,"Serlio, Sebastiano"
120.32P17 P17,0,"Palladio, Andrea"
123.1 F412,0,"Washburn, Ives"
123.1 F412,1,"Ferriss, Hugh"
125.97 D932,0,"Dürer, Albrecht"
126.5V55 B292 Q v.3,0,"Boito, Camillo"
126.5V55 B292 Q v.3,1,"Ongania, Ferdinando"
126.6 R61,0,"Colin et Cie., Éditeurs"
126.6 R61,1,"Rodin, Auguste"
126.6 R61,2,"Morice, Charles"
13.160.10,0,Al-Sufi `Abd al-Rahman
13.2,0,"Whistler, James McNeill"
13.228.13.6,0,Maulana Azhar
13.228.13.6,1,Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja)
13.228.13.6,2,Unknown
13.228.26,0,Miskin
13.228.26,1,Amir Khusrau Dihlavi
13.228.28,0,Miskin
13.228.28,1,Amir Khusrau Dihlavi
13.228.29,0,Basawan
13.228.29,1,Muhammad Husain Kashmiri
13.228.29,2,Amir Khusrau Dihlavi
13.228.33,0,Manohar
13.228.33,1,Muhammad Husain Kashmiri
13.228.33,2,Amir Khusrau Dihlavi
13.228.7.5,0,Sultan Muhammad Nur
13.228.7.5,1,Mahmud Muzahib
13.228.7.5,2,Shaykh Zada
13.228.7.5,3,Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja)
130.8 C23,0,"Carradori, Francesco"
131.1M58 C75,0,"Condivi, Ascanio"
139.3 N48 F,0,"Hayashi, Tadamasa"
139.3 N48 F,1,De Vinne Press
139.3 N48 F,2,"Bishop, Heber R."
139.3 N48 F,3,Kunz George Frederick
139.3 N48 F,4,Bushell Stephen Wootton Dr.
139.3 N48 F,5,"Lilley, Robert"
14.100.172,0,"Iyetada, Saotome"
14.100.172,1,"Munesuke, Myōchin"
14.126.1,0,"Sully, Thomas"
14.130.12,0,Euphiletos Painter
14.130.14,0,Hirschfeld Workshop
14.25.1425,0,"Gemlich, Ambrosius"
14.25.1425,1,"Peck, Peter"
