Object Number,variable,attribution
04.3.36,0,Attributed to
06.1335.1a–d,0,and
06.1335.1a–d,1,Stuccowork probably by
06.968.2,0,Decoration after designs by
06.968.2,1,and
06.968.2,2,Attributed to the pottery of
06.968.2,3,Possibly assisted by
"07.286.36a, b",0,Attributed to the
07.286.84,0,Attributed to the
10.125.685,0,Possibly
10.125.83,0,Attributed to
13.228.13.6,0,Painting by
13.228.26,0,Painting attributed to
13.228.28,0,Attributed to
13.228.29,0,Painting by
13.228.33,0,Painting by
13.228.7.5,0,Painting by
14.100.172,0,Helmet bowl signed
14.100.172,1,"Breastplate inscribed inside,"
14.130.12,0,Attributed to the
14.130.14,0,Attributed to the
14.74.17,0,Attributed to
14.74.17,1,Attributed to
15.113.1–.5; 29.158.885,0,Armor attributed to
15.113.1–.5; 29.158.885,1,Helmet cheek pieces and metal plates on shoulder straps made by
17.190.724,0,Attributed to
17.190.823,0,Miniatures by
"17.230.14a, b",0,Attributed to
17.81.4,0,Painting attributed to
19.115.2,0,Inscribed by
"19.131.1a–r, t–w, .2a–c; 27.183.16",0,Made at the
"19.131.1a–r, t–w, .2a–c; 27.183.16",1,Design of the decoration attributed to
19.74.1,0,After
1970.230.4,0,Attributed to
1970.301.2,0,Painting attributed to
1970.301.3,0,Painting attributed to
1970.301.51,0,Painting attributed to
1970.35.1,0,Attributed to
1970.77,0,Hilt by
1970.77,1,Blade by
1973.120.1,0,Attributed to
1974.356.120a,0,Attributed to
1975.1.1103,0,workshop of
1975.1.1194,0,Possibly
1975.1.1638,0,possibly
1975.1.1915,0,Designed by
1975.1.1915,1,Probably woven by
1975.1.2026,0,Attributed to
1975.1.2026,1,various
1975.1.335,0,Circle of
1975.1.848,0,"Circle of Rogier van der Weyden, possibly"
1975.1.95,0,Attributed to the
1975.1.96,0,Attributed to the
1976.155.110,0,Attributed to
1976.155.110,1,Central plaque decorated by
1976.92,0,and
1977.1.11,0,Possibly by
1982.213,0,Painting by
1982.213,1,Painting by
1982.324,0,labeled
1982.60.129,0,Attributed to the
1982.60.61,0,and
1982.60.81,0,Designs for figural marquetry by
1982.60.81,1,Stencil drawings and stamp-cutting of marquetry
1982.60.81,2,Frieze mounts attributed to
1983.356,0,Sculptor close to
1984.225,0,Attributed to
1985.116,0,Attributed to
1986.237,0,Attributed to
1986.239,0,Attributed to
1986.353.2,0,Workshop of
1986.365.3,0,Marquetry by
1986.365.3,1,Designed and possibly engraved by
1988.159,0,Attributed to
1988.164,0,Design attributed to
1988.65.1–.2,0,Helmet includes original paper label of
1989.147,0,attributed to
1989.197,0,Woodwork by
1989.197,1,Mounts and large central plaque by
1989.197,2,Designed by
1989.281.72,0,Attributed to the
1989.3,0,Signature probably refers to
1990.103,0,Attributed to
1990.223,0,Attributed to
1990.247,0,Restored by
"1991.373a, b",0,Blade inscribed by
1992.279,0,Attributed to
1992.43,0,Designed by
1992.51,0,Painting by
1993.14,0,Workshop of
1993.415,0,Designed and steel chiseled by
1993.415,1,Designed and steel chiseled by
1993.75,0,Manufactured by
1993.75,1,Designed by
1994.141,0,Painting by
1994.141,1,Commissioned by
"1995.371a, b",0,Attributed to
1996.14,0,Attributed to
1997.36,0,Attributed to the
1998.121,0,Possibly
1998.21,0,commissioned by
1998.479,0,Published by
1998.479,1,Published by
20.24.76,0,After
2001.642,0,Helmet signed by
2006.452a–c,0,Attributed to
2007.194a–f,0,Workshop of
2007.27,0,Possibly executed by
2008.312,0,Painting attributed to
2009.28,0,Partly based on a woodcut by
2009.28,1,Woven by
2010.466,0,Embroidered by
216.7 T71,0,Introduction by:
24.97.104,0,Attributed to the
240.7 T344 F,0,Printer:
240.7 T344 F,1,Engraver:
25.115.15,0,Attributed to
25.78.56,0,Copy of work attributed to
"26.145.243a, b",0,Grip attributed to
26.168.77,0,Silver mounts by
26.168.77,1,Designed by
26.168.77,2,Probably by
26.168.77,3,Decoration after drawings by
26.49,0,Signed by
26.54,0,Painted by
270.52 T49,0,Foreword by
28.57.23,0,Attributed to the
29.100.370,0,Cast by
31.11.10,0,Attributed to the
31.11.11,0,Attributed to
31.11.13,0,Attributed to the
31.11.5,0,Attributed to
32.12,0,Plaster ceiling by
32.12,1,Woodwork carved by
32.12,2,Marble chimneypiece supplied by
32.12,3,After a design by
32.130.6a–y,0,Made under the direction of
33.23,0,Attributed to
"33.65.11, .226",0,Formerly attributed to
34.100.124,0,Possibly
"36.120.417a, b, .418a–c",0,Long sword (katana) blade inscribed by
"36.120.417a, b, .418a–c",1,Short sword (wakizashi) blade attributed to
"36.120.417a, b, .418a–c",2,Set of sword mountings by
36.120.79,0,Inscribed by
38.59,0,Probably
39.121a–n,0,Part of the decoration design by
39.121a–n,1,Part of the decoration design possibly by
39.121a–n,2,Part of the decoration design possibly by
39.153,0,Executed in the workshop of
39.153,1,Designed by
39.153,2,Executed under the supervision of
39.153,3,and
39.68.27,0,after
41.82,0,Marquetry panel after a design by
41.82,1,Case after a design by
42.50.16,0,Attributed to
42.50.2,0,"Stamped with the armorer's name,"
"46.140.767a, b",0,Probably
46.43.4,0,Attributed to
46.43.4,1,Border probably designed by
46.43.4,2,Probably made at the
46.43.4,3,Commissioned for
50.11.4,0,Attributed to the
50.164,0,Painting by
53.225.52,0,Follower of
543.1N48 M97 Q,0,Introduction by
55.121.10.22,0,Painting by
55.121.10.24,0,Painting by
56.11.1,0,Attributed to the
56.171.38,0,Attributed to the
56.171.64,0,Attributed to the
56.70a–c,0,Workshop of
57.130.7,0,Attributed to
58.57a–d,0,Designed by
58.57a–d,1,Marble piers carved by
58.57a–d,2,Pietre Dure top attributed to
58.75.1–.22,0,Plaster ceiling and cornice moldings by
58.75.1–.22,1,Tapestry medallions after designs by
58.75.1–.22,2,Tapestries and furniture covers manufactured by
58.75.1–.22,3,Tapestry borders and seat covers designed by
58.75.1–.22,4,and
58.75.1–.22,5,and
58.75.1–.22,6,Furniture and curtain cornices made by
58.75.1–.22,7,Factory administrator:
58.75.1–.22,8,Tapestry and seat furniture designs possibly by
58.75.1–.22,9,with frieze carved by
58.75.1–.22,10,Chimneypiece by
58.75.1–.22,11,Grate basket and fender by
58.75.1–.22,12,Chair rails and paneling carved by
58.75.1–.22,13,Marquery commode made by
58.75.1–.22,14,Doors by
58.75.1–.22,15,for the firm
58.75.1–.22,16,Room after a design by
58.75.25,0,possibly embroidered by
58.75.88a–c,0,Attributed to
6.311,0,Roman copy of Greek original by
"60.29.1a, b",0,Possibly by
60.4.1,0,Attributed to
62.16,0,Attributed to
62.189,0,Workshop of
62.96,0,Attributed to
63.11.6,0,Signed by
63.11.6,1,Attributed to the
63.11.6,2,Attributed to the
63.210.11,0,Painting by
63.350.246.206.378,0,Issued by
64.79,0,Attributed to
64.79,1,Attributed to
65.167.6,0,Attributed to
65.167.6,1,Attributed to
67.110.1,0,Commissioned by
68.148,0,Attributed to the
69.27,0,Written by
69.27,1,Calligraphy and paintings by
"77.9a, b",0,Designed by
"77.9a, b",1,Manufactured by
"77.9a, b",2,Chased by
"77.9a, b",3,Medallions by
89.4.1191,0,Organ mechanism made by
89.4.1236,0,Attributed to
89.4.2883,0,possibly
903.6 R541 F,0,Lithographed by
903.6 R541 F,1,Historical descriptions by
96.17.10,0,Designed by
99.2,0,Manufactured by
99.2,1,Designed by
AY831 .Z7 1784,0,Chez
BV4823 .D48 1741,0,Engravings drawn by
BX2010 .A2 1794,0,After
BX2010 .A2 1794,1,After
BX2010 .A2 1794,2,After
BX2010 .A2 1794,3,Presso
BX2016.A5 F7 1792,0,Chez
BX9454 .S25 1688,0,Chez
C.I.66.14.2,0,Textile by
C.I.66.14.2,1,Textile by
DC611.N846 A5 1788,0,Chez
G150 .A45 1820,0,Chez
PA4375.M8 D3 1772,0,De
PQ1821 1773,0,De l'imprimerie de
PQ1821 1773,1,Par
PQ1954.A54 L4 1741,0,Chez
PQ2067.T28 D4 1770,0,Erroneously attributed to
PQ2067.T28 D4 1770,1,Aux depens de
PQ4567 .A2 1584,0,Appresso
SB472.32.E54 W48 1771,0,Chez
