Object Number,variable,role
02.7.1,0,Artist
04.29.2,0,Artist
04.3.36,0,Maker
06.1051.2,0,Artist
06.1335.1a–d,0,Maker
06.1335.1a–d,1,Artist
06.968.2,0,Decorator
06.968.2,1,Decorator
06.968.2,2,Maker
06.968.2,3,Maker
08.162.1,0,Artist
08.162.1,1,Artist
08.183.1,0,Artist
10.125.685,0,Maker
10.125.685,1,Maker
10.125.83,0,Maker
10.189,0,Artist
10.228.1,0,Artist
10.64.5,0,Artist
100.1 B59,0,Author
100.1 B59,1,Illustrator
100.1 B591,0,Illustrator
100.1 B591,1,Author
100.51 B61 no.2,0,Editor
100.51 B61 no.2,1,Editor
100.51 B61 no.2,2,Publisher
106.1 V28 F,0,Publisher
106.1 V28 F,1,Author
107.1 K75 1920 no.8,0,Artist
107.1 K75 1920 no.8,1,Publisher
107.15 R474 no.7,0,Publisher
109A L83,0,Author
11.116.4,0,Artist
11.118,0,Artist
11.126.1,0,Artist
11.156,0,Artist
11.173.1,0,Artist
110.5B75 C44,0,Author
12.11.1,0,Artist
12.3.1,0,Artist
120 Se6,0,Author
120.32P17 P17,0,Author
123.1 F412,0,Publisher
123.1 F412,1,Author
125.97 D932,0,Author
126.5V55 B292 Q v.3,0,Editor
126.5V55 B292 Q v.3,1,Publisher
126.6 R61,0,Publisher
126.6 R61,1,Author
126.6 R61,2,Author
13.160.10,0,Author
13.2,0,Artist
13.228.13.6,0,Calligrapher
13.228.13.6,1,Poet
13.228.13.6,2,Artist
13.228.26,0,Artist
13.228.26,1,Poet
13.228.28,0,Artist
13.228.28,1,Poet
13.228.29,0,Artist
13.228.29,1,Calligrapher
13.228.29,2,Poet
13.228.33,0,Artist
13.228.33,1,Calligrapher
13.228.33,2,Poet
13.228.7.5,0,Calligrapher
13.228.7.5,1,Calligrapher
13.228.7.5,2,Artist
13.228.7.5,3,Author
130.8 C23,0,Author
131.1M58 C75,0,Author
139.3 N48 F,0,Author
139.3 N48 F,1,Publisher
139.3 N48 F,2,Author
139.3 N48 F,3,Author
139.3 N48 F,4,Author
139.3 N48 F,5,Author
14.100.172,0,Armorer
14.100.172,1,Armorer
14.126.1,0,Artist
14.25.1425,0,Etcher
14.25.1425,1,Gunsmith
14.25.1623,0,Maker
14.26,0,Maker
14.40.602,0,Artist
14.40.605,0,Artist
14.40.618,0,Artist
14.40.619,0,Artist
14.40.623,0,Artist
14.40.626–27,0,Artist
14.40.633,0,Artist
14.40.642,0,Artist
14.40.675,0,Artist
14.40.687,0,Artist
14.40.689,0,Artist
14.74.17,0,Maker
