movie_title,title_year,movie_imdb_link,actor_1_name,actor_1_facebook_likes,movie_actor_index
#Horror,2015.0,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,Timothy Hutton,501.0,1
10 Cloverfield Lane,2016.0,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,Bradley Cooper,14000.0,1
10 Days in a Madhouse,2015.0,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,Christopher Lambert,1000.0,1
10 Things I Hate About You,1999.0,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,Joseph Gordon-Levitt,23000.0,1
"10,000 B.C.",,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,Mathew Buck,5.0,1
102 Dalmatians,2000.0,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,Ioan Gruffudd,2000.0,1
10th & Wolf,2006.0,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,Brian Dennehy,954.0,1
11:14,2003.0,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,Henry Thomas,861.0,1
12 Angry Men,1957.0,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,Jack Warden,359.0,1
12 Monkeys,,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,Amanda Schull,757.0,1
12 Rounds,2009.0,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,Taylor Cole,969.0,1
12 Years a Slave,2013.0,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,Quvenzhané Wallis,2000.0,1
127 Hours,2010.0,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,James Franco,11000.0,1
13 Going on 30,2004.0,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,Jennifer Garner,3000.0,1
13 Hours,2016.0,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,Toby Stephens,769.0,1
1408,2007.0,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,Drew Powell,129.0,1
15 Minutes,2001.0,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,Robert De Niro,22000.0,1
16 Blocks,2006.0,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,Bruce Willis,13000.0,1
16 to Life,2009.0,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,Will Rothhaar,386.0,1
17 Again,2009.0,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,Matthew Perry,2000.0,1
1776,1972.0,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,Blythe Danner,713.0,1
1911,2011.0,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,Bingbing Li,974.0,1
1941,1979.0,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,Christopher Lee,16000.0,1
1982,2013.0,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,Bokeem Woodbine,904.0,1
2 Fast 2 Furious,2003.0,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,Paul Walker,23000.0,1
2 Guns,2013.0,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,Denzel Washington,18000.0,1
20 Dates,1998.0,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,Tia Carrere,1000.0,1
20 Feet from Stardom,2013.0,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,Sheryl Crow,130.0,1
"20,000 Leagues Under the Sea",1954.0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,James Mason,617.0,1
200 Cigarettes,1999.0,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,Janeane Garofalo,1000.0,1
2001: A Space Odyssey,1968.0,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,Keir Dullea,273.0,1
2012,2009.0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,Oliver Platt,1000.0,1
2016: Obama's America,2012.0,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,Barack Obama,871.0,1
2046,2004.0,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,Li Gong,878.0,1
21,2008.0,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,Kevin Spacey,18000.0,1
21 & Over,2013.0,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,Justin Chon,552.0,1
21 Grams,2003.0,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,Naomi Watts,6000.0,1
21 Jump Street,2012.0,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,Channing Tatum,17000.0,1
22 Jump Street,2014.0,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,Channing Tatum,17000.0,1
24 7: Twenty Four Seven,1997.0,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,Bob Hoskins,5000.0,1
25th Hour,2002.0,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,Philip Seymour Hoffman,22000.0,1
27 Dresses,2008.0,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,Judy Greer,2000.0,1
28 Days,2000.0,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,Steve Buscemi,12000.0,1
