movie_title,actor_3_name,actor_3_facebook_likes
#Horror,Lydia Hearst,56.0
10 Cloverfield Lane,Sumalee Montano,82.0
10 Days in a Madhouse,Alexandra Callas,247.0
10 Things I Hate About You,Andrew Keegan,835.0
102 Dalmatians,Jim Carter,439.0
10th & Wolf,Dash Mihok,463.0
11:14,Shawn Hatosy,407.0
12 Angry Men,John Fiedler,253.0
12 Monkeys,Tom Noonan,442.0
12 Rounds,Nick Gomez,347.0
12 Years a Slave,Taran Killam,500.0
127 Hours,Kate Burton,223.0
13 Going on 30,Christa B. Allen,533.0
13 Hours,David Costabile,681.0
1408,Alexandra Silber,23.0
15 Minutes,Kelsey Grammer,808.0
16 Blocks,Sasha Roiz,795.0
16 to Life,Hallee Hirsh,256.0
17 Again,Thomas Lennon,651.0
1776,Howard Caine,69.0
1911,Jaycee Chan,187.0
1941,Treat Williams,642.0
1982,Quinton Aaron,734.0
2 Fast 2 Furious,Mo Gallini,771.0
2 Guns,Fred Ward,459.0
20 Dates,Robert McKee,153.0
20 Feet from Stardom,Merry Clayton,13.0
"20,000 Leagues Under the Sea",Paul Lukas,51.0
200 Cigarettes,Gaby Hoffmann,612.0
2001: A Space Odyssey,Glenn Beck,73.0
2012,Tom McCarthy,310.0
2016: Obama's America,Dinesh D'Souza,67.0
2046,Maggie Cheung,576.0
21,Josh Gad,1000.0
21 & Over,Sarah Wright,499.0
21 Grams,Danny Huston,430.0
21 Jump Street,Rob Riggle,839.0
22 Jump Street,Amber Stevens West,584.0
24 7: Twenty Four Seven,Karl Collins,20.0
25th Hour,Aaron Stanford,346.0
27 Dresses,Yetta Gottesman,71.0
28 Days,Elizabeth Perkins,664.0
28 Days Later...,David Schneider,27.0
28 Weeks Later,Catherine McCormack,306.0
2:13,Jere Burns,460.0
3,Sophie Rois,9.0
3 Backyards,Kathryn Erbe,301.0
3 Days to Kill,Tómas Lemarquis,114.0
3 Men and a Baby,Steve Guttenberg,801.0
3 Ninjas Kick Back,Don Stark,181.0
3 Strikes,Faizon Love,585.0
30 Days of Night,Megan Franich,63.0
30 Minutes or Less,Fred Ward,459.0
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Olivia Alexander,73.0
300,Vincent Regan,447.0
3000 Miles to Graceland,Ice-T,867.0
300: Rise of an Empire,Peter Mensah,1000.0
3:10 to Yuma,Gretchen Mol,600.0
3rd Rock from the Sun,Kristen Johnston,501.0
"4 Months, 3 Weeks and 2 Days",Alexandru Potocean,27.0
40 Days and 40 Nights,Paulo Costanzo,486.0
42,Nicole Beharie,898.0
42nd Street,George Brent,45.0
47 Ronin,Jin Akanishi,982.0
5 Days of War,Ana Imnadze,18.0
50 First Dates,Allen Covert,328.0
50/50,Bryce Dallas Howard,3000.0
500 Days of Summer,Zooey Deschanel,11000.0
51 Birch Street,Mike Block,0.0
54,Sela Ward,812.0
55 Days at Peking,John Ireland,86.0
8 Days,Ivette Alvarez,0.0
8 Heads in a Duffel Bag,Dyan Cannon,267.0
8 Mile,Evan Jones,196.0
8 Women,Emmanuelle Béart,569.0
88 Minutes,Deborah Kara Unger,494.0
8: The Mormon Proposition,Gavin Newsom,5.0
8MM,Anthony Heald,173.0
9,Tom Kane,265.0
90 Minutes in Heaven,Cynthia Barrett,473.0
9½ Weeks,Kim Chan,45.0
A Beautiful Mind,Judd Hirsch,535.0
A Beginner's Guide to Snuff,Bree Williamson,165.0
A Better Life,Robert Peters,221.0
A Bridge Too Far,Wolfgang Preiss,14.0
A Bug's Life,John Ratzenberger,1000.0
A Charlie Brown Christmas,Christopher Shea,27.0
A Christmas Carol,Gary Oldman,10000.0
A Christmas Story,Scott Schwartz,378.0
A Cinderella Story,Julie Gonzalo,528.0
A Civil Action,Sydney Pollack,521.0
A Dangerous Method,Sarah Gadon,691.0
A Dog of Flanders,Jack Warden,359.0
A Dog's Breakfast,Paul McGillion,405.0
A Farewell to Arms,Adolphe Menjou,99.0
A Few Good Men,Kevin Pollak,574.0
A Fine Step,Leonor Varela,426.0
A Fistful of Dollars,Aldo Sambrell,93.0
A Funny Thing Happened on the Way to the Forum,Phil Silvers,137.0
A Good Day to Die Hard,Megalyn Echikunwoke,476.0
A Good Year,Richard Coyle,567.0
A Guy Named Joe,Irene Dunne,315.0
A Guy Thing,James Brolin,499.0
A Hard Day's Night,George Harrison,704.0
A Haunted House,J.B. Smoove,555.0
A Haunted House 2,Gabriel Iglesias,511.0
A History of Violence,William Hurt,882.0
A Home at the End of the World,Sissy Spacek,874.0
A Knight's Tale,Bérénice Bejo,996.0
A League of Their Own,Rosie O'Donnell,251.0
A Lego Brickumentary,Jason Bateman,0.0
A Lonely Place to Die,Sean Harris,641.0
A Lot Like Love,James Read,165.0
A Low Down Dirty Shame,Charles S. Dutton,534.0
A Madea Christmas,Larry the Cable Guy,400.0
A Man Apart,Larenz Tate,582.0
A Man for All Seasons,Paul Scofield,94.0
A Mighty Heart,Dan Futterman,254.0
A Mighty Wind,Laura Harris,345.0
A Million Ways to Die in the West,Seth MacFarlane,3000.0
A Monster in Paris,François Cluzet,541.0
A Most Violent Year,Albert Brooks,745.0
A Most Wanted Man,Homayoun Ershadi,123.0
A Night at the Roxbury,Dan Hedaya,281.0
A Nightmare on Elm Street,Amanda Wyss,574.0
A Nightmare on Elm Street 2: Freddy's Revenge,Marshall Bell,217.0
A Nightmare on Elm Street 3: Dream Warriors,Jennifer Rubin,150.0
A Nightmare on Elm Street 4: The Dream Master,Brooke Bundy,54.0
A Nightmare on Elm Street 5: The Dream Child,Matthew Borlenghi,92.0
A Passage to India,Art Malik,162.0
A Perfect Getaway,Marley Shelton,690.0
A Perfect Plan,Alice Pol,8.0
A Plague So Pleasant,David Chandler,0.0
A Prairie Home Companion,Lily Tomlin,718.0
A Room for Romeo Brass,Shane Meadows,222.0
A Room with a View,Denholm Elliott,249.0
A Scanner Darkly,Rory Cochrane,407.0
A Separation,Peyman Moaadi,620.0
A Serious Man,Peter Breitmayer,98.0
A Shine of Rainbows,John Bell,130.0
A Simple Plan,Chelcie Ross,244.0
A Simple Wish,Kathleen Turner,899.0
A Single Man,Keri Lynn Pratt,292.0
A Sound of Thunder,Jemima Rooper,212.0
A Streetcar Named Desire,Kim Hunter,114.0
A Tale of Three Cities,Hailu Qin,2.0
A Thin Line Between Love and Hate,Della Reese,388.0
A Thousand Words,Greg Collins,39.0
A Time to Kill,Oliver Platt,1000.0
A Touch of Frost,John Lyons,5.0
A True Story,Kelen Coleman,281.0
A Turtle's Tale: Sammy's Adventures,Stacy Keach,602.0
A Very Harold & Kumar 3D Christmas,Paula Garcés,587.0
A Very Long Engagement,Albert Dupontel,46.0
A View to a Kill,Tanya Roberts,433.0
A Walk Among the Tombstones,David Harbour,313.0
A Walk on the Moon,Tovah Feldshuh,113.0
A Walk to Remember,Paz de la Huerta,488.0
A Warrior's Tail,Sergey Garmash,21.0
"A Woman, a Gun and a Noodle Shop",Dahong Ni,3.0
A.I. Artificial Intelligence,Kevin Sussman,681.0
ABCD (Any Body Can Dance),Prabhudheva,71.0
ATL,Malika,104.0
AVP: Alien vs. Predator,Raoul Bova,727.0
AWOL-72,Brett Wagner,648.0
Abandon,Tony Goldwyn,956.0
Abandoned,Rachel Nash,3.0
Abduction,Richard Cetrone,63.0
Aberdeen,Stellan Skarsgård,0.0
About Last Night,Bryan Callen,460.0
About Schmidt,Howard Hesseman,322.0
About Time,Lindsay Duncan,171.0
About a Boy,Peter McNicholl,3.0
Abraham Lincoln: Vampire Hunter,Benjamin Walker,911.0
Absentia,Erin Cipolletti,9.0
Absolute Power,Scott Glenn,826.0
Accidental Love,Beverly D'Angelo,816.0
Ace Ventura: Pet Detective,David Margulies,567.0
Ace Ventura: When Nature Calls,Sophie Okonedo,460.0
Across the Universe,Robert Clohessy,107.0
Act of Valor,Rorke Denver,11.0
Action Jackson,Carl Weathers,794.0
Adam,Amy Irving,194.0
Adam Resurrected,Derek Jacobi,520.0
Adaptation.,Roger Willie,836.0
Addicted,Sharon Leal,467.0
Admission,Christopher Evan Welch,252.0
Adore,Ben Mendelsohn,748.0
Adulterers,Danielle Savre,137.0
Adventureland,Wendie Malick,452.0
After,Karolina Wydra,258.0
After Earth,Glenn Morshower,894.0
After the Sunset,Chris Penn,455.0
After.Life,Chandler Canterbury,329.0
Against the Ropes,Tim Daly,511.0
Against the Wild,Erin Pitt,120.0
Agent Cody Banks,Chris Gauthier,434.0
Agent Cody Banks 2: Destination London,David Kelly,588.0
Agora,Rupert Evans,334.0
Aimee & Jaguar,Maria Schrader,36.0
Air Bud,Michael Jeter,693.0
Air Force One,Dean Stockwell,936.0
Airborne,Brittney Powell,117.0
Airlift,Purab Kohli,12.0
Airplane!,Barbara Billingsley,318.0
Ajami,Ranin Karim,7.0
Akeelah and the Bee,Tzi Ma,268.0
Akira,Tesshô Genda,4.0
Aladdin,Scott Weinger,631.0
Albert Nobbs,Mark Williams,373.0
Albino Alligator,Faye Dunaway,977.0
Alex & Emma,Robert Costanzo,130.0
Alex Cross,Carmen Ejogo,374.0
Alex Rider: Operation Stormbreaker,Ashley Walters,173.0
Alexander,Brian Blessed,591.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Jennifer Garner,3000.0
Alexander's Ragtime Band,John Carradine,300.0
Alfie,Jane Krakowski,624.0
Ali,Joe Morton,780.0
Alias Betty,Roschdy Zem,59.0
Alice Through the Looking Glass,Anne Hathaway,11000.0
Alice in Wonderland,Anne Hathaway,11000.0
Alien,Bolaji Badejo,513.0
Alien 3,Paul McGann,243.0
Alien Uprising,Bianca Brigitte VanDamme,663.0
Alien Zone,Charles Aidman,23.0
Alien: Resurrection,Raymond Cruz,672.0
Aliens,Jenette Goldstein,604.0
Aliens in the Attic,Tim Meadows,553.0
Aliens vs. Predator: Requiem,Ian Whyte,473.0
Alive,Michael DeLorenzo,240.0
All About Steve,Beth Grant,628.0
All About the Benjamins,Gino Salvano,111.0
All Good Things,Frank Langella,902.0
All Hat,Stephen McHattie,413.0
All Is Bright,Peter Hermann,322.0
All Superheroes Must Die,Nick Principe,86.0
All That Jazz,Max Wright,87.0
All or Nothing,Gary McDonald,25.0
All the Boys Love Mandy Lane,Whitney Able,280.0
All the King's Men,Kevin Dunn,581.0
All the Pretty Horses,Sam Shepard,820.0
All the Queen's Men,Edward Fox,125.0
All the Real Girls,Shea Whigham,463.0
Allegiant,Zoë Kravitz,943.0
Alleluia! The Devil's Carnival,Terrance Zdunich,303.0
Almost Famous,Michael Angarano,947.0
Aloft,William Shimell,47.0
Aloha,Bill Murray,13000.0
Alone in the Dark,Karin Konoval,81.0
Alone with Her,Jonathon Trent,61.0
Along Came Polly,Debra Messing,650.0
Along Came a Spider,Monica Potter,878.0
Along the Roadside,Sheldon Bailey,142.0
Alpha and Omega,Christine Lakin,518.0
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Cindy Robinson,29.0
Alvin and the Chipmunks,Matthew Gray Gubler,639.0
Alvin and the Chipmunks: Chipwrecked,Lauren Gottlieb,733.0
Alvin and the Chipmunks: The Road Chip,Jesse McCartney,1000.0
Alvin and the Chipmunks: The Squeakquel,Jesse McCartney,1000.0
Always Woodstock,Jason Ritter,782.0
Amadeus,Tom Hulce,521.0
Amen.,Ulrich Mühe,284.0
America Is Still the Place,Mike Colter,569.0
America's Sweethearts,Larry King,135.0
American Beauty,Ara Celi,158.0
American Desi,Anil Kumar,51.0
American Dreamz,Chris Klein,841.0
American Gangster,RZA,561.0
American Graffiti,Mackenzie Phillips,425.0
American Heist,Akon,262.0
American Hero,Michelle Tabora,175.0
American History X,Stacy Keach,602.0
American Hustle,Bradley Cooper,14000.0
American Ninja 2: The Confrontation,Larry Poindexter,93.0
American Outlaws,Harris Yulin,141.0
American Pie,Natasha Lyonne,1000.0
American Pie 2,Natasha Lyonne,1000.0
American Psycho,Samantha Mathis,517.0
American Reunion,Natasha Lyonne,1000.0
American Sniper,Keir O'Donnell,318.0
American Splendor,Daniel Tay,92.0
American Wedding,Fred Willard,729.0
Amidst the Devil's Wings,Barbie Castro,185.0
Amigo,Ronnie Lazaro,7.0
Amistad,Matthew McConaughey,11000.0
Amnesiac,Mia Barron,21.0
Among Giants,Rob Jarvis,15.0
Amores Perros,Goya Toledo,35.0
Amour,Jean-Louis Trintignant,319.0
Amélie,Isabelle Nanty,54.0
An Alan Smithee Film: Burn Hollywood Burn,Ryan O'Neal,385.0
An American Carol,Gary Coleman,633.0
An American Girl Holiday,Bruce Gooch,32.0
An American Haunting,Vernon Dobtcheff,50.0
An American in Hollywood,Samantha Esteban,163.0
An Education,Ellie Kendrick,221.0
An Everlasting Piece,Pauline McLynn,70.0
An Ideal Husband,Jeremy Northam,327.0
An Unfinished Life,Lynda Boyd,83.0
Anaconda,Kari Wuhrer,514.0
Anacondas: The Hunt for the Blood Orchid,Johnny Messner,522.0
Analyze That,Joe Viterelli,236.0
Analyze This,Molly Shannon,636.0
Anastasia,Bernadette Peters,753.0
Anatomy,Sebastian Blomberg,10.0
Anchorman 2: The Legend Continues,Steve Carell,7000.0
Anchorman: The Legend of Ron Burgundy,Steve Carell,7000.0
And So It Goes,Frankie Valli,197.0
And Then Came Love,Eartha Kitt,558.0
Anderson's Cross,Ryan Carnes,248.0
Angel Eyes,Kari Matchett,280.0
Angela's Ashes,Pauline McLynn,70.0
Angels & Demons,Armin Mueller-Stahl,294.0
Anger Management,Brian Austin Green,676.0
Animal House,Tim Matheson,559.0
Animal Kingdom,Ellen Barkin,551.0
Animal Kingdom: Let's go Ape,Mélissa Theuriau,6.0
Animals,David Dastmalchian,290.0
Animals United,James Corden,480.0
Anna Karenina,Matthew Macfadyen,0.0
Anna and the King,Randall Duk Kim,99.0
Annabelle,Gabriel Bateman,300.0
Anne of Green Gables,Megan Follows,505.0
Annie,David Zayas,929.0
Annie Get Your Gun,Betty Hutton,83.0
Annie Hall,Shelley Duvall,629.0
Anomalisa,David Thewlis,0.0
Anonymous,Rafe Spall,358.0
Another Earth,Flint Beverage,259.0
Another Happy Day,Demi Moore,2000.0
Another Year,Phil Davis,386.0
Ant-Man,T.I.,680.0
Antarctic Edge: 70° South,Mike Brett,0.0
Antarctica: A Year on Ice,Anthony Powell,9.0
Antibirth,Mark Webber,442.0
Antitrust,Ned Bellamy,91.0
