movie_title,country
#Horror,USA
10 Cloverfield Lane,USA
10 Days in a Madhouse,USA
10 Things I Hate About You,USA
102 Dalmatians,USA
10th & Wolf,USA
11:14,USA
12 Angry Men,USA
12 Monkeys,USA
12 Rounds,USA
12 Years a Slave,USA
127 Hours,USA
13 Going on 30,USA
13 Hours,USA
1408,USA
15 Minutes,USA
16 Blocks,Germany
16 to Life,USA
17 Again,USA
1776,USA
1911,China
1941,USA
1982,USA
2 Fast 2 Furious,USA
2 Guns,USA
20 Dates,USA
20 Feet from Stardom,USA
"20,000 Leagues Under the Sea",USA
200 Cigarettes,USA
2001: A Space Odyssey,UK
2012,USA
2016: Obama's America,USA
2046,Hong Kong
21,USA
21 & Over,USA
21 Grams,USA
21 Jump Street,USA
22 Jump Street,USA
24 7: Twenty Four Seven,UK
25th Hour,USA
27 Dresses,USA
28 Days,USA
28 Days Later...,UK
28 Weeks Later,UK
2:13,USA
3,Germany
3 Backyards,USA
3 Days to Kill,USA
3 Men and a Baby,USA
3 Ninjas Kick Back,USA
3 Strikes,USA
30 Days of Night,USA
30 Minutes or Less,Germany
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,USA
300,USA
3000 Miles to Graceland,USA
300: Rise of an Empire,USA
3:10 to Yuma,USA
3rd Rock from the Sun,USA
"4 Months, 3 Weeks and 2 Days",Romania
40 Days and 40 Nights,USA
42,USA
42nd Street,USA
47 Ronin,USA
5 Days of War,Georgia
50 First Dates,USA
50/50,USA
500 Days of Summer,USA
51 Birch Street,Germany
54,USA
55 Days at Peking,USA
8 Days,USA
8 Heads in a Duffel Bag,USA
8 Mile,USA
8 Women,France
88 Minutes,USA
8: The Mormon Proposition,USA
8MM,Germany
9,USA
90 Minutes in Heaven,USA
9½ Weeks,USA
A Beautiful Mind,USA
A Beginner's Guide to Snuff,USA
A Better Life,USA
A Bridge Too Far,USA
A Bug's Life,USA
A Charlie Brown Christmas,USA
A Christmas Carol,USA
A Christmas Story,USA
A Cinderella Story,USA
A Civil Action,USA
A Dangerous Method,UK
A Dog of Flanders,USA
A Dog's Breakfast,Canada
A Farewell to Arms,USA
A Few Good Men,USA
A Fine Step,USA
A Fistful of Dollars,Italy
A Funny Thing Happened on the Way to the Forum,USA
A Good Day to Die Hard,USA
A Good Year,USA
A Guy Named Joe,USA
A Guy Thing,USA
A Hard Day's Night,UK
A Haunted House,USA
A Haunted House 2,USA
A History of Violence,USA
A Home at the End of the World,USA
A Knight's Tale,USA
A League of Their Own,USA
A Lego Brickumentary,Denmark
A Lonely Place to Die,UK
A Lot Like Love,USA
A Low Down Dirty Shame,USA
A Madea Christmas,USA
A Man Apart,USA
A Man for All Seasons,UK
A Mighty Heart,USA
A Mighty Wind,USA
A Million Ways to Die in the West,USA
A Monster in Paris,France
A Most Violent Year,USA
A Most Wanted Man,UK
A Night at the Roxbury,USA
A Nightmare on Elm Street,USA
A Nightmare on Elm Street 2: Freddy's Revenge,USA
A Nightmare on Elm Street 3: Dream Warriors,USA
A Nightmare on Elm Street 4: The Dream Master,USA
A Nightmare on Elm Street 5: The Dream Child,USA
A Passage to India,UK
A Perfect Getaway,USA
A Perfect Plan,France
A Plague So Pleasant,USA
A Prairie Home Companion,USA
A Room for Romeo Brass,UK
A Room with a View,UK
A Scanner Darkly,USA
A Separation,Iran
A Serious Man,USA
A Shine of Rainbows,Canada
A Simple Plan,UK
A Simple Wish,USA
A Single Man,USA
A Sound of Thunder,UK
A Streetcar Named Desire,USA
A Tale of Three Cities,China
A Thin Line Between Love and Hate,USA
A Thousand Words,USA
A Time to Kill,USA
A Touch of Frost,UK
A True Story,USA
A Turtle's Tale: Sammy's Adventures,France
A Very Harold & Kumar 3D Christmas,USA
A Very Long Engagement,France
A View to a Kill,UK
A Walk Among the Tombstones,USA
A Walk on the Moon,USA
A Walk to Remember,USA
A Warrior's Tail,Russia
"A Woman, a Gun and a Noodle Shop",China
A.I. Artificial Intelligence,USA
ABCD (Any Body Can Dance),India
ATL,USA
AVP: Alien vs. Predator,USA
AWOL-72,USA
Abandon,USA
Abandoned,New Zealand
Abduction,USA
Aberdeen,UK
About Last Night,USA
About Schmidt,USA
About Time,UK
About a Boy,UK
Abraham Lincoln: Vampire Hunter,USA
Absentia,USA
Absolute Power,USA
Accidental Love,USA
Ace Ventura: Pet Detective,USA
Ace Ventura: When Nature Calls,USA
Across the Universe,USA
Act of Valor,USA
Action Jackson,USA
Adam,USA
Adam Resurrected,Germany
Adaptation.,USA
Addicted,USA
Admission,USA
Adore,Australia
Adulterers,USA
Adventureland,USA
After,USA
After Earth,USA
After the Sunset,USA
After.Life,USA
Against the Ropes,USA
Against the Wild,Canada
Agent Cody Banks,USA
Agent Cody Banks 2: Destination London,USA
Agora,Spain
Aimee & Jaguar,Germany
Air Bud,USA
Air Force One,USA
Airborne,USA
Airlift,India
Airplane!,USA
Ajami,Germany
Akeelah and the Bee,USA
Akira,Japan
Aladdin,USA
Albert Nobbs,UK
Albino Alligator,USA
Alex & Emma,USA
Alex Cross,USA
Alex Rider: Operation Stormbreaker,Germany
Alexander,Germany
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",USA
Alexander's Ragtime Band,USA
Alfie,UK
Ali,USA
Alias Betty,France
Alice Through the Looking Glass,USA
Alice in Wonderland,USA
Alien,UK
Alien 3,USA
Alien Uprising,UK
Alien Zone,USA
Alien: Resurrection,USA
Aliens,USA
Aliens in the Attic,USA
Aliens vs. Predator: Requiem,USA
Alive,USA
All About Steve,USA
All About the Benjamins,USA
All Good Things,USA
All Hat,Canada
All Is Bright,USA
All Is Lost,USA
All Superheroes Must Die,USA
All That Jazz,USA
All or Nothing,UK
All the Boys Love Mandy Lane,USA
All the King's Men,Germany
All the Pretty Horses,USA
All the Queen's Men,Germany
All the Real Girls,USA
Allegiant,USA
Alleluia! The Devil's Carnival,USA
Almost Famous,USA
Aloft,Spain
Aloha,USA
Alone in the Dark,Canada
Alone with Her,USA
Along Came Polly,USA
Along Came a Spider,USA
Along the Roadside,USA
Alpha and Omega,USA
Alpha and Omega 4: The Legend of the Saw Toothed Cave,USA
Alvin and the Chipmunks,USA
Alvin and the Chipmunks: Chipwrecked,USA
Alvin and the Chipmunks: The Road Chip,USA
Alvin and the Chipmunks: The Squeakquel,USA
Always Woodstock,USA
Amadeus,USA
Amen.,France
America Is Still the Place,USA
America's Sweethearts,USA
American Beauty,USA
American Desi,USA
American Dreamz,USA
American Gangster,USA
American Graffiti,USA
American Heist,Canada
American Hero,USA
American History X,USA
American Hustle,USA
American Ninja 2: The Confrontation,USA
American Outlaws,USA
American Pie,USA
American Pie 2,USA
American Psycho,USA
American Reunion,USA
American Sniper,USA
American Splendor,USA
American Wedding,USA
Amidst the Devil's Wings,USA
Amigo,USA
Amistad,USA
Amnesiac,USA
Among Giants,UK
Amores Perros,Mexico
Amour,France
Amélie,France
An Alan Smithee Film: Burn Hollywood Burn,USA
An American Carol,USA
An American Girl Holiday,USA
An American Haunting,UK
An American in Hollywood,USA
An Education,UK
An Everlasting Piece,USA
An Ideal Husband,UK
An Inconvenient Truth,USA
An Unfinished Life,USA
Anaconda,USA
Anacondas: The Hunt for the Blood Orchid,USA
Analyze That,USA
Analyze This,USA
Anastasia,USA
Anatomy,Germany
Anchorman 2: The Legend Continues,USA
Anchorman: The Legend of Ron Burgundy,USA
And So It Goes,USA
And Then Came Love,USA
Anderson's Cross,USA
Angel Eyes,USA
Angela's Ashes,USA
Angels & Demons,USA
Anger Management,USA
Animal House,USA
Animal Kingdom,USA
Animal Kingdom: Let's go Ape,France
Animals,USA
Animals United,Germany
Anna Karenina,UK
Anna and the King,USA
Annabelle,USA
Anne of Green Gables,Canada
Annie,USA
Annie Get Your Gun,USA
Annie Hall,USA
Anomalisa,USA
Anonymous,UK
Another Earth,USA
Another Happy Day,USA
Another Year,UK
Ant-Man,USA
Antarctic Edge: 70° South,USA
Antarctica: A Year on Ice,New Zealand
Antibirth,USA
Antitrust,USA
Antiviral,Canada
Antwone Fisher,USA
Antz,USA
Any Given Sunday,USA
Anything Else,USA
Anywhere But Here,USA
Apocalypse Now,USA
