movie_title,genre
#Horror,Drama
#Horror,Horror
#Horror,Mystery
#Horror,Thriller
10 Cloverfield Lane,Drama
10 Cloverfield Lane,Horror
10 Cloverfield Lane,Mystery
10 Cloverfield Lane,Sci-Fi
10 Cloverfield Lane,Thriller
10 Days in a Madhouse,Drama
10 Things I Hate About You,Comedy
10 Things I Hate About You,Drama
10 Things I Hate About You,Romance
"10,000 B.C.",Comedy
102 Dalmatians,Adventure
102 Dalmatians,Comedy
102 Dalmatians,Family
10th & Wolf,Crime
10th & Wolf,Drama
10th & Wolf,Thriller
11:14,Comedy
11:14,Crime
11:14,Drama
12 Angry Men,Crime
12 Angry Men,Drama
12 Monkeys,Adventure
12 Monkeys,Drama
12 Monkeys,Mystery
12 Monkeys,Sci-Fi
12 Monkeys,Thriller
12 Rounds,Action
12 Rounds,Crime
12 Rounds,Thriller
12 Years a Slave,Biography
12 Years a Slave,Drama
12 Years a Slave,History
127 Hours,Adventure
127 Hours,Biography
127 Hours,Drama
127 Hours,Thriller
13 Going on 30,Comedy
13 Going on 30,Fantasy
13 Going on 30,Romance
13 Hours,Action
13 Hours,Drama
13 Hours,Thriller
13 Hours,War
1408,Fantasy
1408,Horror
15 Minutes,Action
15 Minutes,Crime
15 Minutes,Drama
15 Minutes,Thriller
16 Blocks,Action
16 Blocks,Crime
16 Blocks,Drama
16 Blocks,Thriller
16 to Life,Comedy
16 to Life,Romance
17 Again,Comedy
17 Again,Drama
17 Again,Family
17 Again,Fantasy
17 Again,Romance
1776,Drama
1776,Family
1776,History
1776,Musical
1911,Action
1911,Adventure
1911,Drama
1911,History
1911,War
1941,Action
1941,Comedy
1941,War
1982,Drama
2 Fast 2 Furious,Action
2 Fast 2 Furious,Crime
2 Fast 2 Furious,Thriller
2 Guns,Action
2 Guns,Comedy
2 Guns,Crime
2 Guns,Drama
2 Guns,Thriller
20 Dates,Biography
20 Dates,Comedy
20 Dates,Romance
20 Feet from Stardom,Documentary
20 Feet from Stardom,Music
"20,000 Leagues Under the Sea",Adventure
"20,000 Leagues Under the Sea",Drama
"20,000 Leagues Under the Sea",Family
"20,000 Leagues Under the Sea",Fantasy
"20,000 Leagues Under the Sea",Sci-Fi
200 Cigarettes,Comedy
200 Cigarettes,Drama
200 Cigarettes,Romance
2001: A Space Odyssey,Adventure
2001: A Space Odyssey,Mystery
2001: A Space Odyssey,Sci-Fi
2012,Action
2012,Adventure
2012,Sci-Fi
2016: Obama's America,Documentary
2046,Drama
2046,Romance
2046,Sci-Fi
21,Crime
21,Drama
21,Thriller
21 & Over,Comedy
21 Grams,Drama
21 Jump Street,Action
21 Jump Street,Comedy
21 Jump Street,Crime
22 Jump Street,Action
22 Jump Street,Comedy
22 Jump Street,Crime
24 7: Twenty Four Seven,Comedy
24 7: Twenty Four Seven,Drama
24 7: Twenty Four Seven,Romance
24 7: Twenty Four Seven,Sport
25th Hour,Drama
27 Dresses,Comedy
27 Dresses,Romance
28 Days,Comedy
28 Days,Drama
28 Days Later...,Drama
28 Days Later...,Horror
28 Days Later...,Sci-Fi
28 Days Later...,Thriller
28 Weeks Later,Drama
28 Weeks Later,Horror
28 Weeks Later,Sci-Fi
2:13,Horror
2:13,Thriller
3,Comedy
3,Drama
3,Romance
3 Backyards,Drama
3 Days to Kill,Action
3 Days to Kill,Drama
3 Days to Kill,Thriller
3 Men and a Baby,Comedy
3 Men and a Baby,Drama
3 Men and a Baby,Family
3 Ninjas Kick Back,Action
3 Ninjas Kick Back,Comedy
3 Ninjas Kick Back,Family
3 Strikes,Comedy
30 Days of Night,Horror
30 Minutes or Less,Action
30 Minutes or Less,Comedy
30 Minutes or Less,Crime
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Comedy
300,Action
300,Drama
300,Fantasy
300,War
3000 Miles to Graceland,Action
3000 Miles to Graceland,Comedy
3000 Miles to Graceland,Crime
3000 Miles to Graceland,Thriller
300: Rise of an Empire,Action
300: Rise of an Empire,Drama
300: Rise of an Empire,Fantasy
300: Rise of an Empire,War
3:10 to Yuma,Adventure
3:10 to Yuma,Crime
3:10 to Yuma,Drama
3:10 to Yuma,Western
3rd Rock from the Sun,Comedy
3rd Rock from the Sun,Family
3rd Rock from the Sun,Sci-Fi
"4 Months, 3 Weeks and 2 Days",Drama
40 Days and 40 Nights,Comedy
40 Days and 40 Nights,Romance
42,Biography
42,Drama
42,Sport
42nd Street,Comedy
42nd Street,Musical
42nd Street,Romance
47 Ronin,Action
47 Ronin,Adventure
47 Ronin,Drama
47 Ronin,Fantasy
5 Days of War,Action
5 Days of War,Drama
5 Days of War,War
50 First Dates,Comedy
50 First Dates,Romance
50/50,Comedy
50/50,Drama
50/50,Romance
500 Days of Summer,Comedy
500 Days of Summer,Drama
500 Days of Summer,Romance
51 Birch Street,Documentary
54,Drama
54,Music
55 Days at Peking,Action
55 Days at Peking,Adventure
55 Days at Peking,Drama
55 Days at Peking,History
55 Days at Peking,War
8 Days,Drama
8 Days,Thriller
8 Heads in a Duffel Bag,Comedy
8 Heads in a Duffel Bag,Crime
8 Mile,Drama
8 Mile,Music
8 Women,Comedy
8 Women,Crime
8 Women,Musical
8 Women,Romance
88 Minutes,Crime
88 Minutes,Drama
88 Minutes,Mystery
88 Minutes,Thriller
8: The Mormon Proposition,Documentary
8MM,Mystery
8MM,Thriller
9,Action
9,Adventure
9,Animation
9,Drama
9,Mystery
9,Sci-Fi
9,Thriller
90 Minutes in Heaven,Drama
9½ Weeks,Drama
9½ Weeks,Romance
A Beautiful Mind,Biography
A Beautiful Mind,Drama
A Beginner's Guide to Snuff,Comedy
A Beginner's Guide to Snuff,Horror
A Beginner's Guide to Snuff,Thriller
A Better Life,Drama
A Better Life,Romance
A Bridge Too Far,Drama
A Bridge Too Far,History
A Bridge Too Far,War
A Bug's Life,Adventure
A Bug's Life,Animation
A Bug's Life,Comedy
A Bug's Life,Family
A Bug's Life,Fantasy
A Charlie Brown Christmas,Animation
A Charlie Brown Christmas,Comedy
A Charlie Brown Christmas,Family
A Christmas Carol,Animation
A Christmas Carol,Drama
A Christmas Carol,Family
A Christmas Carol,Fantasy
A Christmas Story,Comedy
A Christmas Story,Family
A Cinderella Story,Comedy
A Cinderella Story,Family
A Cinderella Story,Romance
A Civil Action,Drama
A Dangerous Method,Biography
A Dangerous Method,Drama
A Dangerous Method,Thriller
A Dog of Flanders,Drama
A Dog of Flanders,Family
A Dog's Breakfast,Comedy
A Farewell to Arms,Drama
A Farewell to Arms,Romance
A Farewell to Arms,War
A Few Good Men,Drama
A Few Good Men,Thriller
A Fine Step,Drama
A Fistful of Dollars,Action
A Fistful of Dollars,Drama
A Fistful of Dollars,Western
A Funny Thing Happened on the Way to the Forum,Comedy
A Funny Thing Happened on the Way to the Forum,Musical
A Good Day to Die Hard,Action
A Good Day to Die Hard,Thriller
A Good Year,Comedy
A Good Year,Drama
A Good Year,Romance
A Guy Named Joe,Drama
A Guy Named Joe,Fantasy
A Guy Named Joe,Romance
A Guy Named Joe,War
A Guy Thing,Comedy
A Guy Thing,Romance
A Hard Day's Night,Comedy
A Hard Day's Night,Musical
A Haunted House,Comedy
A Haunted House,Fantasy
A Haunted House 2,Comedy
A Haunted House 2,Fantasy
A History of Violence,Crime
A History of Violence,Drama
A History of Violence,Thriller
A Home at the End of the World,Drama
A Home at the End of the World,Romance
A Knight's Tale,Action
A Knight's Tale,Adventure
A Knight's Tale,Romance
A League of Their Own,Comedy
A League of Their Own,Drama
A League of Their Own,Sport
A Lego Brickumentary,Documentary
A Lonely Place to Die,Action
A Lonely Place to Die,Adventure
A Lonely Place to Die,Crime
A Lonely Place to Die,Thriller
A Lot Like Love,Comedy
A Lot Like Love,Drama
A Lot Like Love,Romance
A Low Down Dirty Shame,Action
A Low Down Dirty Shame,Comedy
A Low Down Dirty Shame,Crime
A Madea Christmas,Comedy
A Madea Christmas,Drama
A Man Apart,Action
A Man Apart,Crime
A Man Apart,Drama
A Man Apart,Thriller
A Man for All Seasons,Biography
A Man for All Seasons,Drama
A Man for All Seasons,History
A Mighty Heart,Biography
A Mighty Heart,Drama
A Mighty Heart,History
A Mighty Heart,Thriller
A Mighty Heart,War
A Mighty Wind,Comedy
A Mighty Wind,Music
A Million Ways to Die in the West,Comedy
A Million Ways to Die in the West,Western
A Monster in Paris,Adventure
A Monster in Paris,Animation
A Monster in Paris,Comedy
A Monster in Paris,Fantasy
A Monster in Paris,Music
A Monster in Paris,Romance
A Most Violent Year,Action
A Most Violent Year,Crime
A Most Violent Year,Drama
A Most Violent Year,Thriller
A Most Wanted Man,Crime
A Most Wanted Man,Drama
A Most Wanted Man,Thriller
A Night at the Roxbury,Comedy
A Night at the Roxbury,Music
A Night at the Roxbury,Romance
A Nightmare on Elm Street,Horror
A Nightmare on Elm Street 2: Freddy's Revenge,Fantasy
A Nightmare on Elm Street 2: Freddy's Revenge,Horror
A Nightmare on Elm Street 3: Dream Warriors,Action
A Nightmare on Elm Street 3: Dream Warriors,Fantasy
A Nightmare on Elm Street 3: Dream Warriors,Horror
A Nightmare on Elm Street 3: Dream Warriors,Thriller
A Nightmare on Elm Street 4: The Dream Master,Fantasy
A Nightmare on Elm Street 4: The Dream Master,Horror
A Nightmare on Elm Street 4: The Dream Master,Thriller
A Nightmare on Elm Street 5: The Dream Child,Fantasy
A Nightmare on Elm Street 5: The Dream Child,Horror
A Nightmare on Elm Street 5: The Dream Child,Romance
A Nightmare on Elm Street 5: The Dream Child,Thriller
A Passage to India,Adventure
A Passage to India,Drama
A Passage to India,History
A Perfect Getaway,Adventure
A Perfect Getaway,Mystery
A Perfect Getaway,Thriller
A Perfect Plan,Comedy
A Perfect Plan,Romance
A Plague So Pleasant,Drama
A Plague So Pleasant,Horror
A Plague So Pleasant,Thriller
A Prairie Home Companion,Comedy
A Prairie Home Companion,Drama
A Prairie Home Companion,Music
A Room for Romeo Brass,Comedy
A Room for Romeo Brass,Drama
A Room with a View,Drama
A Room with a View,Romance
A Scanner Darkly,Animation
A Scanner Darkly,Drama
A Scanner Darkly,Mystery
A Scanner Darkly,Sci-Fi
A Scanner Darkly,Thriller
A Separation,Drama
A Separation,Mystery
A Serious Man,Comedy
A Serious Man,Drama
A Shine of Rainbows,Drama
A Shine of Rainbows,Family
A Simple Plan,Crime
A Simple Plan,Drama
A Simple Plan,Thriller
A Simple Wish,Comedy
A Simple Wish,Family
A Simple Wish,Fantasy
A Single Man,Drama
A Single Man,Romance
A Sound of Thunder,Action
A Sound of Thunder,Adventure
A Sound of Thunder,Horror
A Sound of Thunder,Sci-Fi
A Sound of Thunder,Thriller
A Streetcar Named Desire,Drama
A Tale of Three Cities,Drama
A Thin Line Between Love and Hate,Comedy
A Thin Line Between Love and Hate,Crime
A Thin Line Between Love and Hate,Drama
A Thin Line Between Love and Hate,Romance
A Thin Line Between Love and Hate,Thriller
A Thousand Words,Comedy
A Thousand Words,Drama
A Time to Kill,Crime
A Time to Kill,Drama
A Time to Kill,Thriller
A Touch of Frost,Crime
A Touch of Frost,Drama
A Touch of Frost,Mystery
A True Story,Comedy
A Turtle's Tale: Sammy's Adventures,Adventure
A Turtle's Tale: Sammy's Adventures,Animation
A Turtle's Tale: Sammy's Adventures,Family
A Very Harold & Kumar 3D Christmas,Adventure
A Very Harold & Kumar 3D Christmas,Comedy
A Very Long Engagement,Drama
A Very Long Engagement,Mystery
A Very Long Engagement,Romance
A Very Long Engagement,War
A View to a Kill,Action
A View to a Kill,Adventure
A View to a Kill,Thriller
A Walk Among the Tombstones,Crime
A Walk Among the Tombstones,Drama
A Walk Among the Tombstones,Mystery
A Walk Among the Tombstones,Thriller
A Walk on the Moon,Drama
