movie_title,plot_keyword
#Horror,bullying
#Horror,throat slitting
#Horror,cyberbullying
#Horror,internet
#Horror,girl
10 Cloverfield Lane,minimal cast
10 Cloverfield Lane,kidnapping
10 Cloverfield Lane,car crash
10 Cloverfield Lane,bunker
10 Cloverfield Lane,alien
10 Things I Hate About You,shrew
10 Things I Hate About You,dating
10 Things I Hate About You,teen movie
10 Things I Hate About You,protective father
10 Things I Hate About You,school
102 Dalmatians,puppy
102 Dalmatians,parole
102 Dalmatians,parole officer
102 Dalmatians,prison
102 Dalmatians,dog
10th & Wolf,fragmentation grenade
10th & Wolf,woman kills attacker
10th & Wolf,desert storm
10th & Wolf,fbi agent
10th & Wolf,fbi
11:14,murder
11:14,paramedic
11:14,multiple perspectives
11:14,convenience store
11:14,van
12 Angry Men,murder
12 Angry Men,dialogue driven storyline
12 Angry Men,dialogue driven
12 Angry Men,courtroom
12 Angry Men,jury
12 Monkeys,paradox
12 Monkeys,epidemic
12 Monkeys,plague
12 Monkeys,virus
12 Monkeys,mission
12 Rounds,terrorist
12 Rounds,detective
12 Rounds,sadist
12 Rounds,2000s
12 Rounds,terrorism
12 Years a Slave,torture
12 Years a Slave,racism
12 Years a Slave,whipping
12 Years a Slave,separation from family
12 Years a Slave,social injustice
127 Hours,aron ralston
127 Hours,survival
127 Hours,canyon
127 Hours,based on autobiography
127 Hours,alone
13 Going on 30,30 year old
13 Going on 30,13th birthday
13 Going on 30,wish
13 Going on 30,13 year old
13 Going on 30,year 1987
13 Hours,u.s. ambassador
13 Hours,cia agent
13 Hours,libya
13 Hours,based on true story
13 Hours,mercenary
1408,hotel
1408,paranormal phenomena
1408,evil
1408,book
1408,debunking
15 Minutes,criminal
15 Minutes,homicide
15 Minutes,detective
15 Minutes,media
15 Minutes,fire
16 Blocks,detective
16 Blocks,alcoholic
16 Blocks,courthouse
16 Blocks,jail
16 Blocks,witness
16 to Life,love
16 to Life,birthday
16 to Life,digit in title
16 to Life,masturbation
16 to Life,teenager
17 Again,high school student
17 Again,janitor
17 Again,adult as child
17 Again,school
17 Again,father son relationship
1776,massachusetts
1776,continental congress
1776,declaration of independence
1776,debate
1776,pennsylvania
1911,stabbed with a bayonet
1911,war violence
1911,china
1911,qing dynasty
1911,disarming someone
1941,submarine
1941,cult film
1941,pearl harbor
1941,california
1941,captain
1982,semi autobiographical
1982,number in title
2 Fast 2 Furious,undercover agent
2 Fast 2 Furious,shotgun
2 Fast 2 Furious,racing
2 Fast 2 Furious,bust
2 Fast 2 Furious,street racing
2 Guns,undercover
2 Guns,close up of breasts
2 Guns,fugitive
2 Guns,money
2 Guns,female nudity
20 Dates,narrative
20 Dates,hidden camera
20 Dates,reality show
20 Dates,mockumentary
20 Dates,fake documentary
20 Feet from Stardom,backup singer
20 Feet from Stardom,band
20 Feet from Stardom,singer
20 Feet from Stardom,bechdel test passed
20 Feet from Stardom,concert footage
"20,000 Leagues Under the Sea",submarine
"20,000 Leagues Under the Sea",sea
"20,000 Leagues Under the Sea",whale
"20,000 Leagues Under the Sea",expedition
"20,000 Leagues Under the Sea",captain
200 Cigarettes,new year's eve
200 Cigarettes,bartender
200 Cigarettes,party
200 Cigarettes,punk
200 Cigarettes,friend
2001: A Space Odyssey,monolith
2001: A Space Odyssey,star child
2001: A Space Odyssey,message from outer space
2001: A Space Odyssey,famous line
2001: A Space Odyssey,ancient astronaut
2012,catastrophe
2012,president
2012,writer
2012,geologist
2012,ark
2016: Obama's America,political propoganda
2016: Obama's America,critically bashed
2016: Obama's America,punctuation in title
2016: Obama's America,partisan commentary
2016: Obama's America,reenactment
2046,number in title
2046,train
2046,woman slaps a man
2046,woman slaps man
2046,written by director
21,based on true story
21,gambling
21,card counting
21,blackjack
21,massachusetts institute of technology
21 & Over,standing up to father
21 & Over,college student
21 & Over,pubic hair
21 & Over,21st birthday
21 & Over,drunken man
21 Grams,nonlinear timeline
21 Grams,mathematician
21 Grams,love
21 Grams,accident
21 Grams,faith
21 Jump Street,parody
21 Jump Street,narcotics
21 Jump Street,undercover cop
21 Jump Street,remake
21 Jump Street,police
22 Jump Street,college
22 Jump Street,hidden camera
22 Jump Street,tattoo
22 Jump Street,undercover
22 Jump Street,drugs
24 7: Twenty Four Seven,hiking
24 7: Twenty Four Seven,fight
24 7: Twenty Four Seven,working class
24 7: Twenty Four Seven,gang
24 7: Twenty Four Seven,wales
25th Hour,widower
25th Hour,bar
25th Hour,nightclub
25th Hour,dream
25th Hour,drug dealing
27 Dresses,friend
27 Dresses,boss
27 Dresses,love
27 Dresses,bridesmaid
27 Dresses,wedding
28 Days,wedding
28 Days,box office hit
28 Days,12 step program
28 Days,vomiting
28 Days,car accident
28 Days Later...,military
28 Days Later...,london england
28 Days Later...,virus
28 Days Later...,zombie apocalypse
28 Days Later...,laboratory
28 Weeks Later,zombie apocalypse
28 Weeks Later,rage
28 Weeks Later,u.s. army
28 Weeks Later,sniper
28 Weeks Later,paris france
2:13,serial killer
2:13,profiler
2:13,death
2:13,murder
2:13,forensic
3,female nudity
3,menage a trois
3,pubic hair
3,male frontal nudity
3,full frontal female nudity
3 Backyards,number in title
3 Days to Kill,cancer
3 Days to Kill,estranged wife
3 Days to Kill,leather dress
3 Days to Kill,terrorist
3 Days to Kill,spy
3 Men and a Baby,heroin
3 Men and a Baby,questioned by police
3 Men and a Baby,baby
3 Men and a Baby,package
3 Men and a Baby,1980s
3 Ninjas Kick Back,stick fight
3 Ninjas Kick Back,dagger
3 Ninjas Kick Back,mousetrap
3 Ninjas Kick Back,japan
3 Ninjas Kick Back,1990s
3 Strikes,diaper
3 Strikes,digit in title
3 Strikes,dream
3 Strikes,sawed off shotgun
3 Strikes,adult diaper
30 Days of Night,snow
30 Days of Night,small town
30 Days of Night,vampire
30 Days of Night,winter
30 Days of Night,alaska
30 Minutes or Less,bank robbery
30 Minutes or Less,pizza delivery boy
30 Minutes or Less,unlikely criminal
30 Minutes or Less,heist gone wrong
30 Minutes or Less,bank heist
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,exorcism
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,masturbation
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,lesbian kiss
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,female nudity
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,haunted house
300,spartan
300,battle
300,epic
300,greece
300,warrior
3000 Miles to Graceland,casino
