movie_title,language
#Horror,English
10 Cloverfield Lane,English
10 Days in a Madhouse,English
10 Things I Hate About You,English
102 Dalmatians,English
10th & Wolf,English
11:14,English
12 Angry Men,English
12 Monkeys,English
12 Rounds,English
12 Years a Slave,English
127 Hours,English
13 Going on 30,English
13 Hours,English
1408,English
15 Minutes,English
16 Blocks,English
16 to Life,English
17 Again,English
1776,English
1911,Mandarin
1941,English
1982,English
2 Fast 2 Furious,English
2 Guns,English
20 Dates,English
20 Feet from Stardom,English
"20,000 Leagues Under the Sea",English
200 Cigarettes,English
2001: A Space Odyssey,English
2012,English
2016: Obama's America,English
2046,Cantonese
21,English
21 & Over,English
21 Grams,English
21 Jump Street,English
22 Jump Street,English
24 7: Twenty Four Seven,English
25th Hour,English
27 Dresses,English
28 Days,English
28 Days Later...,English
28 Weeks Later,English
2:13,English
3,German
3 Backyards,English
3 Days to Kill,English
3 Men and a Baby,English
3 Ninjas Kick Back,English
3 Strikes,English
30 Days of Night,English
30 Minutes or Less,English
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,English
300,English
3000 Miles to Graceland,English
300: Rise of an Empire,English
3:10 to Yuma,English
3rd Rock from the Sun,English
"4 Months, 3 Weeks and 2 Days",Romanian
40 Days and 40 Nights,English
42,English
42nd Street,English
47 Ronin,English
5 Days of War,English
50 First Dates,English
50/50,English
500 Days of Summer,English
51 Birch Street,English
54,English
55 Days at Peking,English
8 Days,English
8 Heads in a Duffel Bag,English
8 Mile,English
8 Women,French
88 Minutes,English
8: The Mormon Proposition,English
8MM,English
9,English
90 Minutes in Heaven,English
9½ Weeks,English
A Beautiful Mind,English
A Beginner's Guide to Snuff,English
A Better Life,English
A Bridge Too Far,English
A Bug's Life,English
A Charlie Brown Christmas,English
A Christmas Carol,English
A Christmas Story,English
A Cinderella Story,English
A Civil Action,English
A Dangerous Method,English
A Dog of Flanders,English
A Dog's Breakfast,English
A Farewell to Arms,English
A Few Good Men,English
A Fistful of Dollars,Italian
A Funny Thing Happened on the Way to the Forum,English
A Good Day to Die Hard,English
A Good Year,English
A Guy Named Joe,English
A Guy Thing,English
A Hard Day's Night,English
A Haunted House,English
A Haunted House 2,English
A History of Violence,English
A Home at the End of the World,English
A Knight's Tale,English
A League of Their Own,English
A Lego Brickumentary,English
A Lonely Place to Die,English
A Lot Like Love,English
A Low Down Dirty Shame,English
A Madea Christmas,English
A Man Apart,English
A Man for All Seasons,English
A Mighty Heart,English
A Mighty Wind,English
A Million Ways to Die in the West,English
A Monster in Paris,French
A Most Violent Year,English
A Most Wanted Man,English
A Night at the Roxbury,English
A Nightmare on Elm Street,English
A Nightmare on Elm Street 2: Freddy's Revenge,English
A Nightmare on Elm Street 3: Dream Warriors,English
A Nightmare on Elm Street 4: The Dream Master,English
A Nightmare on Elm Street 5: The Dream Child,English
A Passage to India,English
A Perfect Getaway,English
A Perfect Plan,French
A Plague So Pleasant,English
A Prairie Home Companion,English
A Room for Romeo Brass,English
A Room with a View,English
A Scanner Darkly,English
A Separation,Persian
A Serious Man,English
A Shine of Rainbows,English
A Simple Plan,English
A Simple Wish,English
A Single Man,English
A Sound of Thunder,English
A Streetcar Named Desire,English
A Tale of Three Cities,Chinese
A Thin Line Between Love and Hate,English
A Thousand Words,English
A Time to Kill,English
A Touch of Frost,English
A True Story,English
A Turtle's Tale: Sammy's Adventures,English
A Very Harold & Kumar 3D Christmas,English
A Very Long Engagement,French
A View to a Kill,English
A Walk Among the Tombstones,English
A Walk on the Moon,English
A Walk to Remember,English
A Warrior's Tail,Russian
"A Woman, a Gun and a Noodle Shop",Mandarin
A.I. Artificial Intelligence,English
ABCD (Any Body Can Dance),Hindi
ATL,English
AVP: Alien vs. Predator,English
AWOL-72,English
Abandon,English
Abandoned,English
Abduction,English
Aberdeen,English
About Last Night,English
About Schmidt,English
About Time,English
About a Boy,English
Abraham Lincoln: Vampire Hunter,English
Absentia,English
Absolute Power,English
Accidental Love,English
Ace Ventura: Pet Detective,English
Ace Ventura: When Nature Calls,English
Across the Universe,English
Act of Valor,English
Action Jackson,English
Adam,English
Adam Resurrected,English
Adaptation.,English
Addicted,Spanish
Admission,English
Adore,English
Adulterers,English
Adventureland,English
After,English
After Earth,English
After the Sunset,English
After.Life,English
Against the Ropes,English
Against the Wild,English
Agent Cody Banks,English
Agent Cody Banks 2: Destination London,English
Agora,English
Aimee & Jaguar,German
Air Bud,English
Air Force One,English
Airborne,English
