movie_title,content_rating
#Horror,Not Rated
10 Cloverfield Lane,PG-13
10 Days in a Madhouse,R
10 Things I Hate About You,PG-13
102 Dalmatians,G
10th & Wolf,R
11:14,R
12 Angry Men,Not Rated
12 Monkeys,TV-14
12 Rounds,PG-13
12 Years a Slave,R
127 Hours,R
13 Going on 30,PG-13
13 Hours,R
1408,PG-13
15 Minutes,R
16 Blocks,PG-13
17 Again,PG-13
1776,PG
1911,R
1941,PG
1982,R
2 Fast 2 Furious,PG-13
2 Guns,R
20 Dates,R
20 Feet from Stardom,PG-13
"20,000 Leagues Under the Sea",Approved
200 Cigarettes,R
2001: A Space Odyssey,G
2012,PG-13
2016: Obama's America,PG
2046,R
21,PG-13
21 & Over,R
21 Grams,R
21 Jump Street,R
22 Jump Street,R
24 7: Twenty Four Seven,R
25th Hour,R
27 Dresses,PG-13
28 Days,PG-13
28 Days Later...,R
28 Weeks Later,R
3,Unrated
3 Backyards,R
3 Days to Kill,PG-13
3 Men and a Baby,PG
3 Ninjas Kick Back,PG
3 Strikes,R
30 Days of Night,R
30 Minutes or Less,R
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,R
300,R
3000 Miles to Graceland,R
300: Rise of an Empire,R
3:10 to Yuma,R
3rd Rock from the Sun,TV-PG
"4 Months, 3 Weeks and 2 Days",Not Rated
40 Days and 40 Nights,R
42,PG-13
42nd Street,Unrated
47 Ronin,PG-13
5 Days of War,R
50 First Dates,PG-13
50/50,R
500 Days of Summer,PG-13
51 Birch Street,Unrated
54,R
55 Days at Peking,Unrated
8 Days,PG-13
8 Heads in a Duffel Bag,R
8 Mile,R
8 Women,R
88 Minutes,R
8: The Mormon Proposition,R
8MM,R
9,PG-13
90 Minutes in Heaven,PG-13
9½ Weeks,R
A Beautiful Mind,PG-13
A Better Life,PG-13
A Bridge Too Far,PG
A Bug's Life,G
A Charlie Brown Christmas,TV-G
A Christmas Carol,PG
A Christmas Story,PG
A Cinderella Story,PG
A Civil Action,PG-13
A Dangerous Method,R
A Dog of Flanders,PG
A Farewell to Arms,Unrated
A Few Good Men,R
A Fine Step,PG
A Fistful of Dollars,R
A Funny Thing Happened on the Way to the Forum,Approved
A Good Day to Die Hard,R
A Good Year,PG-13
A Guy Named Joe,Passed
A Guy Thing,PG-13
A Hard Day's Night,Approved
A Haunted House,R
A Haunted House 2,R
A History of Violence,R
A Home at the End of the World,R
A Knight's Tale,PG-13
A League of Their Own,PG
A Lego Brickumentary,G
A Lonely Place to Die,R
A Lot Like Love,PG-13
A Low Down Dirty Shame,R
A Madea Christmas,PG-13
A Man Apart,R
A Man for All Seasons,Approved
A Mighty Heart,R
A Mighty Wind,PG-13
A Million Ways to Die in the West,R
A Monster in Paris,PG
A Most Violent Year,R
A Most Wanted Man,R
A Night at the Roxbury,PG-13
A Nightmare on Elm Street,X
A Nightmare on Elm Street 2: Freddy's Revenge,R
A Nightmare on Elm Street 3: Dream Warriors,X
A Nightmare on Elm Street 4: The Dream Master,R
A Nightmare on Elm Street 5: The Dream Child,X
A Passage to India,PG
A Perfect Getaway,R
A Prairie Home Companion,PG-13
A Room for Romeo Brass,R
A Room with a View,Unrated
A Scanner Darkly,R
A Separation,PG-13
A Serious Man,R
A Shine of Rainbows,PG
A Simple Plan,R
A Simple Wish,PG
A Single Man,R
A Sound of Thunder,PG-13
A Streetcar Named Desire,PG
A Thin Line Between Love and Hate,R
A Thousand Words,PG-13
A Time to Kill,R
A Turtle's Tale: Sammy's Adventures,PG
A Very Harold & Kumar 3D Christmas,R
A Very Long Engagement,R
A View to a Kill,PG
A Walk Among the Tombstones,R
A Walk on the Moon,R
A Walk to Remember,PG
"A Woman, a Gun and a Noodle Shop",R
A.I. Artificial Intelligence,PG-13
ABCD (Any Body Can Dance),Not Rated
ATL,PG-13
AVP: Alien vs. Predator,PG-13
AWOL-72,R
Abandon,PG-13
Abduction,PG-13
About Last Night,R
About Schmidt,R
About Time,R
About a Boy,PG-13
Abraham Lincoln: Vampire Hunter,R
Absentia,R
Absolute Power,R
Accidental Love,PG-13
Ace Ventura: Pet Detective,PG-13
Ace Ventura: When Nature Calls,PG-13
Across the Universe,PG-13
Act of Valor,R
Action Jackson,R
Adam,PG-13
Adam Resurrected,R
Adaptation.,R
Addicted,R
Admission,PG-13
Adore,R
Adventureland,R
After,PG-13
After Earth,PG-13
After the Sunset,PG-13
After.Life,R
Against the Ropes,PG-13
Against the Wild,PG
Agent Cody Banks,PG
Agent Cody Banks 2: Destination London,PG
Agora,R
Air Bud,PG
Air Force One,R
Airborne,PG
Airplane!,PG
Akeelah and the Bee,PG
Akira,R
Aladdin,G
Albert Nobbs,R
Albino Alligator,R
Alex & Emma,PG-13
Alex Cross,PG-13
Alex Rider: Operation Stormbreaker,PG
Alexander,R
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG
Alexander's Ragtime Band,Approved
Alfie,R
Ali,R
Alice Through the Looking Glass,PG
Alice in Wonderland,PG
Alien,R
Alien 3,R
Alien Uprising,R
Alien Zone,PG
Alien: Resurrection,R
Aliens,R
Aliens in the Attic,PG
Aliens vs. Predator: Requiem,R
Alive,R
All About Steve,PG-13
All About the Benjamins,R
All Good Things,R
All Hat,R
All Is Bright,R
All Is Lost,PG-13
All Superheroes Must Die,Unrated
All That Jazz,R
All or Nothing,R
All the Boys Love Mandy Lane,R
All the King's Men,PG-13
All the Pretty Horses,PG-13
All the Queen's Men,PG-13
All the Real Girls,R
Allegiant,PG-13
Almost Famous,R
Aloft,R
Aloha,PG-13
Alone in the Dark,R
Alone with Her,Not Rated
Along Came Polly,PG-13
Along Came a Spider,R
Alpha and Omega,PG
Alvin and the Chipmunks,PG
Alvin and the Chipmunks: Chipwrecked,G
Alvin and the Chipmunks: The Road Chip,PG
Alvin and the Chipmunks: The Squeakquel,PG
Amadeus,R
Amen.,Unrated
America's Sweethearts,PG-13
American Beauty,R
American Desi,Unrated
American Dreamz,PG-13
American Gangster,R
American Graffiti,PG
American Heist,R
American History X,R
American Hustle,R
American Ninja 2: The Confrontation,R
American Outlaws,PG-13
American Pie,R
American Pie 2,R
American Psycho,R
American Reunion,R
American Sniper,R
American Splendor,R
American Wedding,R
Amigo,R
Amistad,R
Among Giants,R
Amores Perros,R
Amour,PG-13
Amélie,R
An Alan Smithee Film: Burn Hollywood Burn,R
An American Carol,PG-13
An American Haunting,PG-13
An American in Hollywood,R
An Education,PG-13
An Everlasting Piece,R
An Ideal Husband,PG-13
An Inconvenient Truth,PG
An Unfinished Life,PG-13
Anaconda,PG-13
Anacondas: The Hunt for the Blood Orchid,PG-13
Analyze That,R
Analyze This,R
Anastasia,G
Anatomy,R
Anchorman 2: The Legend Continues,PG-13
Anchorman: The Legend of Ron Burgundy,PG-13
And So It Goes,PG-13
Anderson's Cross,R
Angel Eyes,R
Angela's Ashes,R
Angels & Demons,PG-13
Animal House,R
Animals United,PG
Anna Karenina,R
Anna and the King,PG-13
Annabelle,R
Anne of Green Gables,TV-G
Annie,PG
Annie Get Your Gun,Passed
Annie Hall,PG
Anomalisa,R
Anonymous,PG-13
Another Earth,PG-13
Another Happy Day,R
Another Year,PG-13
Ant-Man,PG-13
Antarctica: A Year on Ice,PG
Antitrust,PG-13
Antiviral,Not Rated
Antwone Fisher,PG-13
Antz,PG
Any Given Sunday,R
Anything Else,R
Anywhere But Here,PG-13
Apocalypse Now,R
Apocalypto,R
Apollo 13,PG
Apollo 18,PG-13
Appaloosa,R
April Fool's Day,R
Aqua Teen Hunger Force Colon Movie Film for Theaters,R
Aquamarine,PG
Arachnophobia,PG-13
Ararat,R
Arbitrage,R
Are We There Yet?,PG
Area 51,R
Argo,R
Arlington Road,R
Armageddon,PG-13
Armored,PG-13
Army of Darkness,R
Arnolds Park,PG-13
Around the World in 80 Days,PG
Arthur,TV-Y
Arthur Christmas,PG
Arthur and the Invisibles,PG
"As Above, So Below",R
As Good as It Gets,PG-13
Ask Me Anything,Not Rated
Assassins,R
Assault on Precinct 13,R
Astro Boy,PG
At First Sight,PG-13
Atlantis: The Lost Empire,PG
Atlas Shrugged II: The Strike,PG-13
Atlas Shrugged: Who Is John Galt?,PG-13
Atonement,R
Attack the Block,R
August,Not Rated
August Rush,PG
August: Osage County,R
Austin Powers in Goldmember,PG-13
Austin Powers: International Man of Mystery,PG-13
Austin Powers: The Spy Who Shagged Me,PG-13
Australia,PG-13
Auto Focus,R
Automata,R
Autumn in New York,PG-13
Avatar,PG-13
Avengers: Age of Ultron,PG-13
Awake,R
Away We Go,R
B-Girl,PG-13
Babe,G
Babe: Pig in the City,G
Babel,R
Baby Boy,R
Baby Geniuses,PG
Baby Mama,PG-13
Baby's Day Out,PG
Babylon A.D.,PG-13
Bachelorette,R
Back to the Future,PG
Back to the Future Part II,PG
Back to the Future Part III,PG
Bad Boys,R
Bad Boys II,R
Bad Company,PG-13
Bad Grandpa,R
Bad Lieutenant: Port of Call New Orleans,R
Bad Moms,R
Bad Santa,R
Bad Teacher,R
Bad Words,R
Baggage Claim,PG-13
Baghead,R
Bait,R
Ballistic: Ecks vs. Sever,R
Bambi,Approved
Bamboozled,R
Bananas,GP
Bandidas,PG-13
Bandits,PG-13
Bandslam,PG
Bangkok Dangerous,R
Banshee Chapter,R
Barbarella,PG
Barbershop,PG-13
Barbershop 2: Back in Business,PG-13
Barney's Great Adventure,G
Barney's Version,R
Barnyard,PG
Barry Lyndon,PG
Barry Munday,R
Basic,R
Basic Instinct 2,R
Basquiat,R
Bathing Beauty,Passed
Bathory: Countess of Blood,R
Batman,PG-13
Batman & Robin,PG-13
Batman Begins,PG-13
Batman Forever,PG-13
Batman Returns,PG-13
Batman v Superman: Dawn of Justice,PG-13
"Batman: The Dark Knight Returns, Part 2",PG-13
Batman: The Movie,Approved
Bats,PG-13
Battle Los Angeles,PG-13
Battle for the Planet of the Apes,G
Battle of the Year,PG-13
Battlefield Earth,PG-13
Battleship,PG-13
Be Cool,PG-13
Be Kind Rewind,PG-13
Beastly,PG-13
Beastmaster 2: Through the Portal of Time,PG-13
Beasts of the Southern Wild,PG-13
Beautiful Creatures,PG-13
Beauty Shop,PG-13
Beavis and Butt-Head Do America,PG-13
Because I Said So,PG-13
Because of Winn-Dixie,PG
Becoming Jane,PG
Bedazzled,PG-13
Bedtime Stories,PG
Bee Movie,PG
Beer League,R
Beerfest,R
Beetlejuice,PG
Before I Go to Sleep,R
Before Midnight,R
Before Sunrise,R
Before Sunset,R
Begin Again,R
Beginners,R
Behind Enemy Lines,PG-13
Being John Malkovich,R
Being Julia,R
Bella,PG-13
Beloved,R
Below Zero,R
Ben-Hur,PG-13
Bend It Like Beckham,PG-13
Beneath Hill 60,R
Beneath the Planet of the Apes,G
Benji,G
Beowulf,PG-13
Bernie,PG-13
Best in Show,PG-13
Better Luck Tomorrow,R
Beverly Hills Chihuahua,PG
Beverly Hills Cop,R
Beverly Hills Cop II,R
Beverly Hills Cop III,R
Bewitched,TV-G
Beyond Borders,R
Beyond the Black Rainbow,R
Beyond the Lights,PG-13
Beyond the Mat,R
Beyond the Sea,PG-13
Beyond the Valley of the Dolls,X
Bicentennial Man,PG
Big,PG
Big Daddy,PG-13
Big Eyes,PG-13
Big Fat Liar,PG
Big Fish,PG-13
Big Hero 6,PG
Big Miracle,PG
Big Momma's House,PG-13
Big Momma's House 2,PG-13
"Big Mommas: Like Father, Like Son",PG-13
Big Trouble,PG-13
Big Trouble in Little China,PG-13
Bill & Ted's Bogus Journey,PG
Bill & Ted's Excellent Adventure,PG
Billy Elliot,R
Birdman or (The Unexpected Virtue of Ignorance),R
Birth,R
Birthday Girl,R
Biutiful,R
Bizarre,Unrated
Black Book,R
Black Christmas,R
Black Hawk Down,R
Black Knight,PG-13
Black Mass,R
Black Nativity,PG
Black Rain,R
Black Rock,R
Black Snake Moan,R
Black Swan,R
Black or White,PG-13
Blackhat,R
Blackthorn,R
Blade,R
Blade II,R
Blade Runner,R
Blade: Trinity,R
Blades of Glory,PG-13
Blast from the Past,PG-13
Blazing Saddles,R
Bled,R
Blended,PG-13
Bless the Child,R
Blindness,R
Blonde Ambition,PG-13
Blood Diamond,R
Blood Done Sign My Name,PG-13
"Blood In, Blood Out",R
Blood Ties,R
Blood Work,R
Blood and Chocolate,PG-13
Blood and Wine,R
BloodRayne,R
Bloodsport,R
Bloody Sunday,R
Blow,R
Blow Out,R
Blue Car,R
Blue Crush,PG-13
Blue Jasmine,PG-13
Blue Like Jazz,PG-13
Blue Ruin,R
Blue Streak,PG-13
Blue Valentine,R
Boat Trip,R
Bobby,R
Bobby Jones: Stroke of Genius,PG
Body Double,R
Body of Lies,R
Bogus,PG
Boiler Room,R
Bolt,PG
Bon Cop Bad Cop,R
Bon voyage,PG-13
Bones,TV-14
Boogeyman,PG-13
Boogie Nights,R
Book of Shadows: Blair Witch 2,R
Boom Town,Passed
Boomerang,R
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R
Born of War,R
Born on the Fourth of July,R
Bottle Rocket,R
Bottle Shock,PG-13
Bound,R
Bowfinger,PG-13
Bowling for Columbine,R
Boyhood,R
Boynton Beach Club,R
Boys Don't Cry,R
Boys and Girls,PG-13
Boyz n the Hood,R
Bram Stoker's Dracula,R
Bran Nue Dae,PG-13
Brave,PG
Brave New Girl,PG-13
Braveheart,R
Brazil,R
Breakdown,R
Breakfast of Champions,R
Breakin' All the Rules,PG-13
Brick Lane,PG-13
Brick Mansions,PG-13
Bride & Prejudice,PG-13
Bride Wars,PG
Bride of Chucky,R
Bridesmaids,R
Bridge of Spies,PG-13
Bridge to Terabithia,PG
Bridget Jones's Diary,R
