movie_title,title_year,imdb_score,duration,num_critic_for_reviews,gross,budget,movie_facebook_likes,movie_imdb_link
#Horror,2015.0,3.3,101.0,35.0,,1500000.0,750,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1
10 Cloverfield Lane,2016.0,7.3,104.0,411.0,71897215.0,15000000.0,33000,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1
10 Days in a Madhouse,2015.0,7.5,111.0,1.0,14616.0,12000000.0,26000,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1
10 Things I Hate About You,1999.0,7.2,97.0,133.0,38176108.0,16000000.0,10000,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1
"10,000 B.C.",,7.2,22.0,,,,0,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1
102 Dalmatians,2000.0,4.8,100.0,84.0,66941559.0,85000000.0,372,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1
10th & Wolf,2006.0,6.4,107.0,26.0,53481.0,8000000.0,294,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1
11:14,2003.0,7.2,85.0,68.0,,6000000.0,0,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1
12 Angry Men,1957.0,8.9,96.0,177.0,,350000.0,40000,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1
12 Monkeys,,7.6,42.0,13.0,,,12000,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1
12 Rounds,2009.0,5.6,108.0,113.0,12232937.0,22000000.0,0,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1
12 Years a Slave,2013.0,8.1,134.0,597.0,56667870.0,20000000.0,83000,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1
127 Hours,2010.0,7.6,94.0,450.0,18329466.0,18000000.0,63000,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1
13 Going on 30,2004.0,6.1,98.0,119.0,56044241.0,37000000.0,0,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1
13 Hours,2016.0,7.4,144.0,204.0,52822418.0,50000000.0,44000,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1
1408,2007.0,6.8,114.0,314.0,71975611.0,25000000.0,11000,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1
15 Minutes,2001.0,6.1,120.0,151.0,24375436.0,42000000.0,748,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1
16 Blocks,2006.0,6.6,102.0,199.0,36883539.0,52000000.0,0,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1
16 to Life,2009.0,6.3,89.0,3.0,,1000000.0,143,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1
17 Again,2009.0,6.4,102.0,191.0,64149837.0,20000000.0,0,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1
1776,1972.0,7.6,168.0,34.0,,4000000.0,0,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1
