movie_title,actor_1_name,actor_1_facebook_likes
#Horror,Timothy Hutton,501.0
10 Cloverfield Lane,Bradley Cooper,14000.0
10 Days in a Madhouse,Christopher Lambert,1000.0
10 Things I Hate About You,Joseph Gordon-Levitt,23000.0
"10,000 B.C.",Mathew Buck,5.0
102 Dalmatians,Ioan Gruffudd,2000.0
10th & Wolf,Brian Dennehy,954.0
11:14,Henry Thomas,861.0
12 Angry Men,Jack Warden,359.0
12 Monkeys,Amanda Schull,757.0
12 Rounds,Taylor Cole,969.0
12 Years a Slave,Quvenzhané Wallis,2000.0
127 Hours,James Franco,11000.0
13 Going on 30,Jennifer Garner,3000.0
13 Hours,Toby Stephens,769.0
1408,Drew Powell,129.0
15 Minutes,Robert De Niro,22000.0
16 Blocks,Bruce Willis,13000.0
16 to Life,Will Rothhaar,386.0
17 Again,Matthew Perry,2000.0
1776,Blythe Danner,713.0
1911,Bingbing Li,974.0
1941,Christopher Lee,16000.0
1982,Bokeem Woodbine,904.0
2 Fast 2 Furious,Paul Walker,23000.0
2 Guns,Denzel Washington,18000.0
20 Dates,Tia Carrere,1000.0
20 Feet from Stardom,Sheryl Crow,130.0
"20,000 Leagues Under the Sea",James Mason,617.0
"20,000 Leagues Under the Sea",James Mason,618.0
200 Cigarettes,Janeane Garofalo,1000.0
2001: A Space Odyssey,Keir Dullea,273.0
2012,Oliver Platt,1000.0
2016: Obama's America,Barack Obama,871.0
2046,Li Gong,878.0
21,Kevin Spacey,18000.0
21 & Over,Justin Chon,552.0
21 Grams,Naomi Watts,6000.0
21 Jump Street,Channing Tatum,17000.0
22 Jump Street,Channing Tatum,17000.0
24 7: Twenty Four Seven,Bob Hoskins,5000.0
25th Hour,Philip Seymour Hoffman,22000.0
27 Dresses,Judy Greer,2000.0
28 Days,Steve Buscemi,12000.0
28 Days Later...,Noah Huntley,133.0
28 Weeks Later,Jeremy Renner,10000.0
2:13,Teri Polo,708.0
3,Devid Striesow,24.0
3 Backyards,Embeth Davidtz,795.0
3 Days to Kill,Connie Nielsen,933.0
3 Men and a Baby,Tom Selleck,19000.0
3 Ninjas Kick Back,Victor Wong,400.0
3 Strikes,Mo'Nique,939.0
30 Days of Night,Danny Huston,430.0
30 Minutes or Less,Bianca Kajlich,731.0
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,French Stewart,319.0
300,Gerard Butler,18000.0
3000 Miles to Graceland,Jon Lovitz,11000.0
300: Rise of an Empire,Eva Green,6000.0
3:10 to Yuma,Christian Bale,23000.0
3rd Rock from the Sun,Joseph Gordon-Levitt,23000.0
"4 Months, 3 Weeks and 2 Days",Anamaria Marinca,131.0
40 Days and 40 Nights,Emmanuelle Vaugier,1000.0
42,Harrison Ford,11000.0
42nd Street,Ginger Rogers,610.0
47 Ronin,Keanu Reeves,18000.0
5 Days of War,Richard Coyle,567.0
50 First Dates,Adam Sandler,11000.0
50/50,Joseph Gordon-Levitt,23000.0
500 Days of Summer,Joseph Gordon-Levitt,23000.0
51 Birch Street,Carol Block,0.0
54,Salma Hayek,4000.0
55 Days at Peking,Ava Gardner,715.0
8 Days,Nicole Smolen,210.0
8 Heads in a Duffel Bag,Kristy Swanson,578.0
8 Mile,Mekhi Phifer,1000.0
8 Women,Catherine Deneuve,963.0
88 Minutes,Al Pacino,14000.0
8: The Mormon Proposition,Dustin Lance Black,191.0
8MM,Nicolas Cage,12000.0
9,Martin Landau,940.0
90 Minutes in Heaven,Hayden Christensen,4000.0
9½ Weeks,David Margulies,567.0
A Beautiful Mind,Adam Goldberg,1000.0
A Beginner's Guide to Snuff,Kimberley Crossman,467.0
A Better Life,Demián Bichir,749.0
A Bridge Too Far,Ryan O'Neal,385.0
A Bug's Life,Kevin Spacey,18000.0
A Charlie Brown Christmas,Peter Robbins,39.0
A Christmas Carol,Robin Wright,18000.0
A Christmas Story,Zack Ward,662.0
A Cinderella Story,Dan Byrd,1000.0
A Civil Action,Robert Duvall,3000.0
A Dangerous Method,Michael Fassbender,13000.0
A Dog of Flanders,Bruce McGill,655.0
A Dog's Breakfast,Christopher Judge,847.0
A Farewell to Arms,Gary Cooper,998.0
A Few Good Men,Tom Cruise,10000.0
